Timestamp,Ticker,Price,Short_MA,Long_MA,Signal
2025-11-26 09:30:25,TSLA,419.31,419.31,419.31,BUY
2025-11-26 09:30:27,MSFT,476.94,476.94,476.94,SELL
2025-11-26 09:30:28,NVDA,177.79,177.79,177.79,HOLD
2025-11-26 09:30:29,PLTR,163.56,163.56,163.56,HOLD
2025-11-26 10:14:29,TSLA,418.83,418.83,418.83,BUY
2025-11-26 10:14:31,MSFT,482.44,482.44,482.44,SELL
2025-11-26 10:14:32,NVDA,178.85,178.85,178.85,HOLD
2025-11-26 10:14:33,PLTR,164.66,164.66,164.66,HOLD
2025-11-26 10:20:06,TSLA,418.53,418.77,418.81,SELL
2025-11-26 10:20:08,MSFT,483.29,482.61,482.50,BUY
2025-11-26 10:20:10,NVDA,179.47,178.97,178.89,BUY
2025-11-26 10:20:11,PLTR,164.76,164.68,164.67,BUY
2025-11-26 10:40:11,PLTR,164.44,164.63,164.65,SELL
2025-11-26 10:50:12,PLTR,165.42,164.78,164.70,BUY
2025-11-26 11:20:07,TSLA,419.25,418.84,418.77,BUY
2025-11-27 10:44:21,TSLA,426.50,426.50,426.50,HOLD
2025-11-27 10:44:22,MSFT,485.49,485.49,485.49,SELL
2025-11-27 10:44:24,NVDA,180.18,180.18,180.18,HOLD
2025-11-27 10:44:26,PLTR,165.72,165.72,165.72,HOLD
2025-12-05 09:32:16,TSLA,454.54,454.54,454.54,BUY
2025-12-05 09:32:18,MSFT,480.82,480.82,480.82,HOLD
2025-12-05 09:32:20,NVDA,183.40,183.40,183.40,HOLD
2025-12-05 09:32:21,PLTR,177.93,177.93,177.93,HOLD
2025-12-05 10:11:07,TSLA,455.17,0.00,0.00,HOLD
2025-12-05 10:11:09,MSFT,482.22,0.00,0.00,HOLD
2025-12-05 10:11:11,NVDA,181.89,0.00,0.00,HOLD
2025-12-05 10:11:12,PLTR,178.96,0.00,0.00,HOLD
